"lang","trialid","ianum","ia","total_rt","gaze_rt","firstfix_rt","model_ia","freq","surp","ent","model","len","prev_surp","prev2_surp","prev_freq","prev2_freq","prev_len","prev2_len","prev_ent","prev2_ent"
"tr",11,120,"Türlerin",381.666666666667,253.666666666667,189.866666666667,"Türlerin",4.27e-06,3.11439094034243,6.9728729724884,"mgpt_lc",8,6.93819462300326,20.9353923004926,0.000309,9.77e-05,6,7,7.09163463115692,20.8181899785995
"tr",11,121,"Kırmızı",297.6,224.2,188.533333333333,"Kırmızı",0.000174,8.85221449221146,11.9637093245983,"mgpt_lc",7,3.11439094034243,6.93819462300326,4.27e-06,0.000309,8,6,6.9728729724884,7.09163463115692
"tr",11,122,"Listesi”ni",381.2,333.866666666667,193.266666666667,"Listesi”ni",2.09e-05,3.17392213198916,9.30533215403557,"mgpt_lc",10,8.85221449221146,3.11439094034243,0.000174,4.27e-06,7,8,11.9637093245983,6.9728729724884
"tr",11,123,"derlediği",537.666666666667,385.2,236.733333333333,"derlediği",1.86e-06,17.1323233910753,10.1384244412184,"mgpt_lc",9,3.17392213198916,8.85221449221146,2.09e-05,0.000174,10,7,9.30533215403557,11.9637093245983
"tr",11,124,"ve",44.9333333333333,33.2,33.2,"ve",0.0234,3.29916345339938,5.43997287750244,"mgpt_lc",2,17.1323233910753,3.17392213198916,1.86e-06,2.09e-05,9,10,10.1384244412184,9.30533215403557
"tr",11,125,"yayınladığı",488.866666666667,318.8,214.4,"yayınladığı",1.45e-05,5.15122544239334,10.1112379357219,"mgpt_lc",11,3.29916345339938,17.1323233910753,0.0234,1.86e-06,2,9,5.43997287750244,10.1384244412184
"tr",11,126,"için",198.866666666667,168.866666666667,154.333333333333,"için",0.00794,1.97496996148709,5.44205474853516,"mgpt_lc",4,5.15122544239334,3.29916345339938,1.45e-05,0.0234,11,2,10.1112379357219,5.43997287750244
"tr",11,127,"bilinir.",416.133333333333,263.866666666667,175.066666666667,"bilinir.",1.86e-05,7.38486317762242,9.4472844004631,"mgpt_lc",8,1.97496996148709,5.15122544239334,0.00794,1.45e-05,4,11,5.44205474853516,10.1112379357219
"tr",11,128,"Bugün,",193.333333333333,159.2,159.2,"Bugün,",0.000692,10.4056337486933,11.1727505922318,"mgpt_lc",6,7.38486317762242,1.97496996148709,1.86e-05,0.00794,8,4,9.4472844004631,5.44205474853516
"tr",11,129,"organizasyon",465.933333333333,424.066666666667,145.533333333333,"organizasyon",2.24e-05,3.39267166554587,8.42513084411621,"mgpt_lc",12,10.4056337486933,7.38486317762242,0.000692,1.86e-05,6,8,11.1727505922318,9.4472844004631
"tr",11,130,"elliden",374.133333333333,264.733333333333,259.4,"elliden",0,23.0549584092961,11.2994995117188,"mgpt_lc",7,3.39267166554587,10.4056337486933,2.24e-05,0.000692,12,6,8.42513084411621,11.1727505922318
"tr",11,131,"fazla",263.466666666667,215.8,204.066666666667,"fazla",0.000933,0.02872326720223,0.198585018515587,"mgpt_lc",5,23.0549584092961,3.39267166554587,0,2.24e-05,7,12,11.2994995117188,8.42513084411621
"tr",11,132,"ülkede",322.266666666667,187.866666666667,187.866666666667,"ülkede",0.000138,1.73755789082319,5.46091628074646,"mgpt_lc",6,0.02872326720223,23.0549584092961,0.000933,0,5,7,0.198585018515587,11.2994995117188
"tr",11,133,"yaklaşık",386,255.2,218.466666666667,"yaklaşık",0.000282,5.38884605346138,7.29807376861572,"mgpt_lc",8,1.73755789082319,0.02872326720223,0.000138,0.000933,6,5,5.46091628074646,0.198585018515587
"tr",11,134,"bin",179.933333333333,161.866666666667,124.066666666667,"bin",0.00049,5.70858096867278,6.93370151519775,"mgpt_lc",3,5.38884605346138,1.73755789082319,0.000282,0.000138,8,6,7.29807376861572,5.46091628074646
"tr",11,135,"tam",337.733333333333,215.733333333333,197.666666666667,"tam",0.000724,13.1558271656254,6.6317777633667,"mgpt_lc",3,5.70858096867278,5.38884605346138,0.00049,0.000282,3,8,6.93370151519775,7.29807376861572
"tr",11,136,"zamanlı",517.6,290.066666666667,218.733333333333,"zamanlı",3.16e-05,2.46754090891834,5.8852603174746,"mgpt_lc",7,13.1558271656254,5.70858096867278,0.000724,0.00049,3,3,6.6317777633667,6.93370151519775
"tr",11,137,"personel",381.466666666667,213.333333333333,204.266666666667,"personel",4.27e-05,6.204728160551,6.78333067893982,"mgpt_lc",8,2.46754090891834,13.1558271656254,3.16e-05,0.000724,7,3,5.8852603174746,6.6317777633667
"tr",11,138,"istihdam",460.4,277.733333333333,235.133333333333,"istihdam",2.95e-05,5.01521632902758,3.94363955873996,"mgpt_lc",8,6.204728160551,2.46754090891834,4.27e-05,3.16e-05,8,7,6.78333067893982,5.8852603174746
"tr",11,139,"etmektedir.",277.8,197,139.466666666667,"etmektedir.",8.71e-05,1.69097289587064,3.24854870885611,"mgpt_lc",11,5.01521632902758,6.204728160551,2.95e-05,4.27e-05,8,8,3.94363955873996,6.78333067893982
"tr",12,1,"Taşıt",600.882352941176,250.764705882353,142.882352941176,"Taşıt",6.46e-06,8.95513564977021,13.7159790992737,"mgpt_lc",5,NA,NA,NA,NA,NA,NA,NA,NA
"tr",12,2,"kayıt",594.294117647059,237.941176470588,202.882352941176,"kayıt",9.12e-05,12.0948299078513,11.0118832588196,"mgpt_lc",5,8.95513564977021,NA,6.46e-06,NA,5,NA,13.7159790992737,NA
"tr",12,3,"plakası,",525.352941176471,232.764705882353,190.588235294118,"plakası,",5.13e-06,14.1775870734946,14.6884557008743,"mgpt_lc",8,12.0948299078513,8.95513564977021,9.12e-05,6.46e-06,5,5,11.0118832588196,13.7159790992737
"tr",12,4,"resmi",299.823529411765,224.941176470588,187.117647058824,"resmi",0.000234,8.47202195427028,8.45492553710938,"mgpt_lc",5,14.1775870734946,12.0948299078513,5.13e-06,9.12e-05,8,5,14.6884557008743,11.0118832588196
"tr",12,5,"tanımlama",731.529411764706,416.058823529412,244.117647058824,"tanımlama",8.51e-06,13.4178096243614,10.5833735466003,"mgpt_lc",9,8.47202195427028,14.1775870734946,0.000234,5.13e-06,5,8,8.45492553710938,14.6884557008743
"tr",12,6,"amacıyla",462.882352941176,261.764705882353,215.294117647059,"amacıyla",0.00012,7.35263759370601,7.67623475193977,"mgpt_lc",8,13.4178096243614,8.47202195427028,8.51e-06,0.000234,9,5,10.5833735466003,8.45492553710938
